

#      
#   DShield.org Recommended Block List 
#    (c) 2007 DShield.org
#   some rights reserved. Details http://creativecommons.org/licenses/by-nc-sa/2.5/
#   use on your own risk. No warranties implied.
#   primary URL: http://feeds.dshield.org/block.txt
#     PGP Sign.: http://feeds.dshield.org/block.txt.asc
#
#   comments: info@dshield.org
#    updated: Wed Jul  1 20:41:45 2015 UTC
#   
#    This list summarizes the top 20 attacking class C (/24) subnets
#   over the last three days. The number of 'attacks' indicates the 
#   number of targets reporting scans from this subnet.
#
#
#    Columns (tab delimited):
#
#    (1) start of netblock  
#    (2) end of netblock
#    (3) subnet (/24 for class C)
#    (4) number of targets scanned
#    (5) name of Network 
#    (6) Country
#    (7) contact email address
#
#    If a range is assigned to multiple users, the first one is listed. 
#     
Start	End	Netblock	Attacks	Name	Country	email
43.255.189.0	43.255.189.255	24	3500	Japan Inet	JP	admin@v6nic.net
43.255.188.0	43.255.188.255	24	3049	Japan Inet	JP	admin@v6nic.net
61.240.144.0	61.240.144.255	24	2252	China United Telecommunications Corporation	CN	ip_address@cnuninet.com
61.183.128.0	61.183.128.255	24	2050	CHINANET-BACKBONE No.31,Jin-rong Street	CN	abuse_wh@public.wh.hb.cn
121.226.124.0	121.226.124.255	24	1261	CHINANET-BACKBONE No.31,Jin-rong Street	CN	anti-spam@ns.chinanet.cn.net
194.63.142.0	194.63.142.255	24	1028			
58.215.49.0	58.215.49.255	24	1028	CHINANET-BACKBONE No.31,Jin-rong Street	CN	abuse@jsinfo.net
60.169.75.0	60.169.75.255	24	1024	CHINANET-BACKBONE No.31,Jin-rong Street	CN	wang@mail.hf.ah.cninfo.net
78.188.67.0	78.188.67.255	24	1023	TEOLTAB TEO LT AB Autonomous System	US	reserved
218.204.146.0	218.204.146.255	24	1022		CN	abuse@chinamobile.com
58.218.200.0	58.218.200.255	24	1021	CHINANET-BACKBONE No.31,Jin-rong Street	CN	abuse@jsinfo.net
212.83.129.0	212.83.129.255	24	1021	92130 Issy-les-Moulineaux	FR	abuse@worldonline.fr
78.182.29.0	78.182.29.255	24	1021	TEOLTAB TEO LT AB Autonomous System	US	reserved
78.188.205.0	78.188.205.255	24	1021	TEOLTAB TEO LT AB Autonomous System	US	reserved
78.186.161.0	78.186.161.255	24	1021	TEOLTAB TEO LT AB Autonomous System	US	reserved
83.234.207.0	83.234.207.255	24	1021			
180.151.95.0	180.151.95.255	24	1021	SPECTRANET FIRST FIBRE BROADBAND NETWORK IN NEW DELHI, INDIA	IN	abuse@spectranet.com
89.248.167.0	89.248.167.255	24	1021			
78.180.189.0	78.180.189.255	24	1021	TEOLTAB TEO LT AB Autonomous System	US	reserved
71.123.44.0	71.123.44.255	24	1021	Verizon Internet Services	US	IPMGMT@verizon.com
#
#
# END
#
#  finished list generation: Wed Jul  1 20:41:49 2015 UTC
